Type	Ecotypes	Mean Unique Sequences	Stdev
PAV_CNS	1	163.241379310345	40.5547735189387
PAV_CNS	2	276.221674876847	56.4133783550921
PAV_CNS	3	368.422	69.2336855816532
PAV_CNS	4	441.661	80.7229600254802
PAV_CNS	5	515.244	88.5867601737307
PAV_CNS	6	573.573	92.0376966715737
PAV_CNS	7	626.904	93.4776810841008
PAV_CNS	8	680.046	97.8642390932116
PAV_CNS	9	730.157	99.5537407549224
PAV_CNS	10	791.981	106.568971021515
PAV_CNS	11	835.109	104.290544329947
PAV_CNS	12	881.813	108.444632275043
PAV_CNS	13	923.453	109.234069194885
PAV_CNS	14	972.161	106.941477260035
PAV_CNS	15	1011.885	106.637795337274
PAV_CNS	16	1050.173	108.931920180607
PAV_CNS	17	1091.705	108.137688780252
PAV_CNS	18	1134.931	102.991706124962
PAV_CNS	19	1174.149	97.2428247531198
PAV_CNS	20	1213.267	98.4309115844985
PAV_CNS	21	1251.258	91.2231390443077
PAV_CNS	22	1285.513	88.6940610608595
PAV_CNS	23	1314.645	88.703930929595
PAV_CNS	24	1355.789	79.3609389916578
PAV_CNS	25	1387.633	75.4609612161657
PAV_CNS	26	1423.326	62.4653154929969
PAV_CNS	27	1457.68719211823	52.3910574170967
PAV_CNS	28	1491.06896551724	38.236044171588
PAV_CNS	29	1524	NA
PosV_CNS	1	910.793103448276	122.723667326916
PosV_CNS	2	1412.54926108374	147.333371164553
PosV_CNS	3	1776.042	168.218363009672
PosV_CNS	4	2057.512	172.648861813467
PosV_CNS	5	2295.072	172.351675117812
PosV_CNS	6	2505.411	177.706628252085
PosV_CNS	7	2678.591	178.715026731889
PosV_CNS	8	2840.46	184.077491624921
PosV_CNS	9	3004.763	179.984174676926
PosV_CNS	10	3144.333	177.932245517767
PosV_CNS	11	3270.848	183.4069273419
PosV_CNS	12	3387.383	171.822889675434
PosV_CNS	13	3510.377	169.232492469701
PosV_CNS	14	3619.937	173.433826929245
PosV_CNS	15	3727.947	167.129765600115
PosV_CNS	16	3825.093	161.184834590299
PosV_CNS	17	3903.356	163.277312400544
PosV_CNS	18	3995.951	150.938653353195
PosV_CNS	19	4090.669	145.150025728447
PosV_CNS	20	4167.688	138.744530345166
PosV_CNS	21	4245.398	130.051362749311
PosV_CNS	22	4328.029	116.29801970966
PosV_CNS	23	4391.413	112.489529847561
PosV_CNS	24	4464.823	102.215114345192
PosV_CNS	25	4532.465	89.2269478533432
PosV_CNS	26	4601.76	81.645528918566
PosV_CNS	27	4669.92610837438	65.6810810134049
PosV_CNS	28	4734.27586206897	47.2507721416306
PosV_CNS	29	4797	NA
PAV_Gene	1	3306.85714285714	46.7179989786745
PAV_Gene	2	3731.30423280423	71.4021378326702
PAV_Gene	3	3980.502	76.5584691278189
PAV_Gene	4	4160.696	76.4948170861336
PAV_Gene	5	4312.777	77.442808960288
PAV_Gene	6	4429.451	77.4230969087064
PAV_Gene	7	4537.728	80.0373787551666
PAV_Gene	8	4626.318	80.2759559588368
PAV_Gene	9	4705.831	79.7055042415918
PAV_Gene	10	4781.892	74.7062203257222
PAV_Gene	11	4847.73	75.0404969078442
PAV_Gene	12	4913.753	75.2799246682544
PAV_Gene	13	4974.271	71.429613947919
PAV_Gene	14	5024.408	71.4425893958189
PAV_Gene	15	5081.665	67.7115915824952
PAV_Gene	16	5128.521	67.3962596500341
PAV_Gene	17	5177.482	62.2001007115626
PAV_Gene	18	5222.281	63.1644978828518
PAV_Gene	19	5262.123	59.8977262390536
PAV_Gene	20	5302.554	58.4486041178344
PAV_Gene	21	5344.604	51.6979483331966
PAV_Gene	22	5378.66	48.2563889975108
PAV_Gene	23	5413.287	44.9710465302513
PAV_Gene	24	5448.686	40.5281869559685
PAV_Gene	25	5480.134	35.3184858033217
PAV_Gene	26	5513.22751322751	29.094214190623
PAV_Gene	27	5544.10714285714	21.0243937433433
PAV_Gene	28	5574	NA
